id	source	owner	field	influence	lifetime	storage	bound	category	admission	failure	release	status	tests
cache_entry.resource	crates/dustnet-client/src/client.rs	ResourceCacheEntry	resource	remote	process	retained	MAX_WASM_MODULE_SIZE and MAX_RESOURCE_CACHE_BYTES	ResourceCache	complete fallible shared owner moves into the fixed cache slot after body and control-block admission	allocator rejection preserves the same-key entry and releases the candidate lease	eviction replacement or final ScopedResource drop	governed	shared_resource_owner_rejection_preserves_same_cache_entry
cache_entry.key_lease	crates/dustnet-client/src/client.rs	ResourceCacheEntry	_key_lease	remote	process	retained	exact origin host and path capacity	RemoteCollections	key lease is reserved before retained key installation	budget rejection preserves exact cache order and entries	eviction replacement or cache drop	governed	resource_cache_key_budget_rejection_preserves_existing_entry
client.transport_offered_capabilities	crates/dustnet-client/src/transport.rs	AtpConnection	offered_capabilities	local	connection	retained	32 protocol capabilities	none	locally configured negotiation offer	invalid local configuration fails negotiation	connection drop	local	capability_must_be_negotiated_by_both_peers
page.animation_runtime_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	anim_rt	remote	page	retained	MAX_ANIMATION_REGIONS plus one system transition	RemoteCollections	animation construction pre-admits exact retained collections and payloads	candidate rejection preserves active page	page replacement or drop	governed	from_scene_retains_exact_animation_frame_and_payload_leases,frame_collection_rejection_refuses_the_runtime_and_recovers
page.event_dispatcher_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	prepared_event_dispatcher	remote	page	retained	MAX_PENDING_EVENT_ACTIONS	RemoteCollections	fixed queue topology is admitted with the candidate page	candidate rejection preserves active page	activation transfer or page drop	governed	queue_capacity_is_governed_for_the_page_lifetime,page_canvas_and_event_queue_rejection_refuse_the_page_and_recover
runtime.command_line_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	command_line	mixed	process	retained	MAX_COMMAND_BYTES input MAX_COMMAND_MESSAGE_BYTES messages and fixed MAX_COMMAND_HISTORY rows	none	all retained strings are constructed fallibly before publication and history navigation copies complete before state mutation	allocation rejection preserves the exact buffer cursor saved buffer and history index	runtime drop	bounded	command_line_history_copy_rejection_preserves_exact_navigation_state
runtime.deferred_navigation	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	deferred_navigation	remote	page	retained	exactly one authored navigation proposal	none	owner scope and fallibly prepared proposal payload move into an allocation-free Option	stale effects cannot consume a differently keyed proposal and retirement clears matching work	resume RetirePageWork or runtime drop	bounded	deferred_navigation_completion_requires_its_exact_page_owner
runtime.error_log_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	error_log	mixed	process	retained	MAX_ERROR_ENTRIES fixed rows and MAX_ERROR_MESSAGE_CHARS per message	none	fixed inline topology plus one-pass fallible bounded sanitization completes each row before installation	allocation rejection counts the message as omitted without changing retained rows	clear or runtime drop	bounded	error_log_messages_are_sanitized_and_bounded_fallibly
runtime.event_dispatcher_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	event_dispatcher	remote	page	retained	MAX_PENDING_EVENT_ACTIONS	RemoteCollections	fixed queue topology is admitted with the active page	queue-full rejection precedes authored mutation	page replacement or runtime drop	governed	queue_capacity_is_governed_for_the_page_lifetime,page_canvas_and_event_queue_rejection_refuse_the_page_and_recover
runtime.pending_page_transition	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	pending_page_transition	remote	operation	retained	one viewport snapshot	CompositorCells	exact source snapshot lease is admitted before capture	pressure preserves the exact capture for reducer retry	transition start retirement or runtime drop	governed	page_transition_start_pressure_preserves_exact_capture_until_retry
runtime.pending_tick	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	pending_tick	remote	frame	retained	bounded animation result collections	RemoteCollections	complete output is pre-admitted before animation advancement	pressure does not advance animation or publish partial completion	commit retry page retirement or runtime drop	governed	tick_output_retains_exact_lease_until_result_drop
runtime.resumed_navigation	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	resumed_navigation	remote	page	retained	exactly one authored FocusAction	none	allocation-free single-owner slot moves the already-fallibly prepared action and retains only numeric owner identity	stale completion cannot consume or overwrite current work	main-loop consumption RetirePageWork or runtime drop	bounded	deferred_navigation_completion_requires_its_exact_page_owner
region.rows	crates/dustnet-client/src/compositor/terminal/runner.rs	RegionBuffer	rows	remote	page	retained	checked buffer_limit times width within MAX_SCENE_CELLS	SceneCells	flat row-major Vec construction is fallible and its actual retained capacity is reconciled to the candidate lease before swap	governor allocator arithmetic or capacity rejection preserves exact prior flat cells and lease	replace trim page replacement subscription retirement or drop	governed	live_region_rows_are_exactly_leased_and_released,region_row_rejection_keeps_the_previous_generation_and_recovers
region_entry.buffer	crates/dustnet-client/src/compositor/terminal/runner.rs	RegionBufferEntry	buffer	remote	page	retained	one flat governed buffer for a numeric projection key	SceneCells	new buffer is completely built and admitted before allocation-free fixed-slot installation	failed first update installs no placeholder and replacement failure preserves the prior entry	page replacement subscription retirement transport loss or runtime drop	governed	fixed_region_table_rejects_capacity_and_failed_first_update_atomically,region_row_rejection_keeps_the_previous_generation_and_recovers
region_table.entries	crates/dustnet-client/src/compositor/terminal/runner.rs	RegionBuffers	entries	remote	page	retained	MAX_ACTIVE_SUBSCRIPTIONS inline slots	SceneCells	fixed array topology keyed by allocation-free SubscriptionRegionKey with no retained remote String duplicate	full table rejects without mutation and same-key configuration replacement is transactional	page replacement subscription retirement transport loss or runtime drop	governed	fixed_region_table_rejects_capacity_and_failed_first_update_atomically,region_row_rejection_keeps_the_previous_generation_and_recovers
scene.aml_id_index	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	aml_id_index	remote	page	retained	checked document-wide element bound of NodeId-only entries	RemoteCollections	one aggregate candidate lease precedes a fallible exact reserve and reconciles actual capacity; governed structural overflow fails before mutation	allocator governor or arithmetic rejection invalidates only the disposable candidate	logical removal retains backing; page replacement or drop releases it	governed	scene_node_relations_account_actual_capacities_and_release,scene_node_topology_governor_and_allocator_rejection_discard_candidates
scene.invalidation_wrapper	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	invalidation	remote	page	retained	candidate authored-node bound plus inline dirty rectangles	RemoteCollections	candidate scene pre-admits and reconciles its authored layout-node backing while composite and present use allocation-free inline unions	admission failure marks the disposable candidate invalid; out-of-bound compatibility structural marks reject allocation-free and set resource_error	logical clear plus backing release on page replacement or drop	governed	scene_layout_invalidation_is_preadmitted_and_released,every_scene_allocation_site_refuses_without_a_partial_scene
scene.relayout_journal_wrapper	crates/dustnet-client/src/compositor/scene/tree.rs	Scene	relayout_journal	remote	operation	retained	one serialized relayout over current scene topology	RemoteCollections	one aggregate lease covers the actual capacities of all five fallibly reserved checkpoint vectors before mutation	reservation or lease reconciliation failure returns before installing a journal or mutating the scene	commit rollback or page drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
journal.layouts	crates/dustnet-client/src/compositor/scene/tree.rs	RelayoutJournal	layouts	remote	operation	retained	current scene node count	RemoteCollections	fallible exact reserve and actual-capacity reconciliation occur before journal publication	preparation failure leaves the scene and invalidation state exact	commit rollback or drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
journal.buffers	crates/dustnet-client/src/compositor/scene/tree.rs	RelayoutJournal	buffers	remote	operation	retained	current scene node count	RemoteCollections	fallible exact reserve and actual-capacity reconciliation occur before journal publication	preparation failure leaves live buffers owned by the scene	commit rollback or drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
journal.invalidation_layout	crates/dustnet-client/src/compositor/scene/tree.rs	RelayoutJournal	invalidation_layout	remote	operation	retained	current layout invalidation count	RemoteCollections	fallible exact reserve and actual-capacity reconciliation precede the allocation-free snapshot	preparation failure leaves the page-owned invalidation set exact	commit rollback or drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
journal.invalidation_composite	crates/dustnet-client/src/compositor/scene/tree.rs	RelayoutJournal	invalidation_composite	remote	operation	retained	one inline composite bounding rectangle	RemoteCollections	fallible exact reserve and actual-capacity reconciliation precede the snapshot	preparation failure leaves the inline dirty union exact	commit rollback or drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
journal.invalidation_present	crates/dustnet-client/src/compositor/scene/tree.rs	RelayoutJournal	invalidation_present	remote	operation	retained	one inline present bounding rectangle	RemoteCollections	fallible exact reserve and actual-capacity reconciliation precede the snapshot	preparation failure leaves the inline dirty union exact	commit rollback or drop	governed	relayout_journal_accounts_actual_capacities_and_releases,relayout_journal_rejection_installs_nothing_and_recovers
invalidation.composite	crates/dustnet-client/src/compositor/scene/invalidation.rs	Invalidation	composite	remote	frame	retained	one inline bounding rectangle	none	allocation-free Option union retains no heap topology	disjoint marks conservatively coalesce without allocation	clear or scene drop	bounded	bounding_box_unions_all
invalidation.layout	crates/dustnet-client/src/compositor/scene/invalidation.rs	Invalidation	layout	remote	page	retained	candidate authored-node count	RemoteCollections	candidate build fallibly reserves the Vec and reconciles its actual capacity before activation	admission failure marks the disposable candidate invalid; production property marks stay within the bound and structural overflow fails closed	logical drain or clear plus backing release on scene replacement or drop	governed	scene_layout_invalidation_is_preadmitted_and_released,every_scene_allocation_site_refuses_without_a_partial_scene
layout_invalidation.entries	crates/dustnet-client/src/compositor/scene/invalidation.rs	LayoutInvalidation	entries	remote	page	retained	candidate authored-node count	RemoteCollections	fallible exact Vec reserve and actual-capacity lease reconciliation occur during disposable candidate construction	admission failure activates no scene; out-of-bound compatibility structural marks reject without allocation and set resource_error	logical drain or clear plus backing release on scene replacement or drop	governed	scene_layout_invalidation_is_preadmitted_and_released,every_scene_allocation_site_refuses_without_a_partial_scene
layout_invalidation.lease	crates/dustnet-client/src/compositor/scene/invalidation.rs	LayoutInvalidation	_lease	remote	page	retained	actual retained NodeId Vec capacity	RemoteCollections	lease is acquired before reserve and reconciled to allocator-selected capacity before publication	reserve or resize rejection drops both candidate backing and lease	LayoutInvalidation drop	governed	scene_layout_invalidation_is_preadmitted_and_released,every_scene_allocation_site_refuses_without_a_partial_scene
invalidation.present	crates/dustnet-client/src/compositor/scene/invalidation.rs	Invalidation	present	remote	frame	retained	one inline bounding rectangle	none	allocation-free Option union retains no heap topology	disjoint marks conservatively coalesce without allocation	clear presentation or scene drop	bounded	bounding_box_unions_all
command.error_log_entries	crates/dustnet-client/src/compositor/terminal/presentation.rs	ErrorLog	entries	mixed	process	retained	MAX_ERROR_ENTRIES inline rows	none	fixed ArrayVec topology installs a completed ErrorEntry without heap growth	full-table messages increment the omitted counter without changing retained rows	clear or runtime drop	bounded	error_log_bounds_unique_session_entries
command.error_entry_message	crates/dustnet-client/src/compositor/terminal/presentation.rs	ErrorEntry	message	mixed	process	retained	MAX_ERROR_MESSAGE_CHARS MAX_ERROR_MESSAGE_WIDTH and four bytes per Unicode scalar	none	allocation-free sanitizer traversal writes through a bounded fallible String destination	allocation rejection increments omitted_count without publishing a partial row	clear or runtime drop	bounded	error_log_messages_are_sanitized_and_bounded_fallibly
server.transport_offered_capabilities	crates/dustnet-server/src/transport.rs	AtpServerStream	offered_capabilities	local	connection	retained	32 protocol capabilities	none	locally configured negotiation offer	invalid local configuration fails negotiation	connection drop	local	capability_must_be_negotiated_by_both_peers
transient.history_entry_try_clone	crates/dustnet-client/src/viewer.rs	HistoryEntry::try_clone	result	remote	operation	transient	MAX_HISTORY_AML_BYTES plus one protocol-bounded scope and URI	none	fallible exact AML String scope and URI construction completes before cached-history reducer mutation	allocation rejection returns no clone and preserves the exact logical history and active page	cached preparation completion failure or drop	bounded	history_entry_try_clone_fallibly_owns_every_payload
transient.server_read_static_body	crates/dustnet-server/src/lib.rs	read_static_body	result	remote	operation	transient	validated open-file metadata length plus one byte and MAX_FRAME_SIZE	none	checked fallible fixed buffer allocation precedes a capped read from the already-open file	allocation rejection or file growth returns ProtocolError without publishing a body	RawFrame transfer or drop	bounded	static_resource_read_is_fallible_and_returns_only_filled_bytes
transient.wasm_dependency_paths	crates/dustnet-client/src/compositor/terminal/runner.rs	wasm_dependency_paths	result	remote	operation	transient	MAX_ANIMATE_REGIONS and AML source limits	none	semantic input bounds plus fallible incremental reservation and fallible String ownership	allocation rejection returns an operation error without publishing partial output	ViewerEvent consumption or drop	bounded	none
transient.collect_form_values	crates/dustnet-client/src/compositor/terminal/runner.rs	collect_form_values	result	remote	operation	transient	form control and input limits	none	semantic input bounds plus fallible incremental reservation and fallible String ownership	allocation rejection returns an operation error without publishing partial output	form serialization or drop	bounded	forms_own_their_controls_and_selects_are_submitted
transient.url_encode_form	crates/dustnet-client/src/compositor/terminal/runner.rs	url_encode_form	result	remote	operation	transient	form control and input limits	none	semantic input bounds plus fallible incremental reservation and fallible String ownership	allocation rejection returns an operation error without publishing partial output	GET effect consumption or drop	bounded	url_encode_form_values
transient.terminal_hud_frame	crates/dustnet-client/src/compositor/terminal/runner.rs	draw_viewer_frame	result	mixed	frame	transient	terminal dimensions and the admitted page HUD history error command and status payload bounds	none	ANSI style glyph truncation URI resolution HUD row status expansion and final synchronized-frame growth all write through allocation-free or fallible destinations	any formatting or reserve rejection restores the compositor presentation baseline and discards the unpublished candidate before synchronized terminal output	terminal write completion or drop	bounded	terminal_hud_text_rejection_restores_the_presented_baseline
transient.protocol.encode_frame	crates/dustnet-core/src/protocol/frame.rs	encode_frame	result	mixed	operation	transient	MAX_FRAME_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	transport write completion or drop	bounded	inbound_body_capacity_overflow_is_recoverable
transient.protocol.allocate_frame_body	crates/dustnet-core/src/protocol/frame.rs	allocate_frame_body	result	remote	operation	transient	validated message-specific limit and MAX_FRAME_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	inbound_body_capacity_overflow_is_recoverable
transient.protocol.page_encode	crates/dustnet-core/src/protocol/message.rs	PageMessage::encode_body	result	remote	operation	transient	MAX_PAGE_MESSAGE_SIZE and MAX_FRAME_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	page_encoding_and_decoding_enforce_page_bound
transient.protocol.page_decode	crates/dustnet-core/src/protocol/message.rs	PageMessage::decode_body	result	remote	operation	transient	MAX_PAGE_MESSAGE_SIZE and MAX_FRAME_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	PageMessage transfer or drop	bounded	page_encoding_and_decoding_enforce_page_bound
protocol.hello.capabilities	crates/dustnet-core/src/protocol/message.rs	HelloMessage	capabilities	remote	operation	transient	32 capabilities within MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.hello.client	crates/dustnet-core/src/protocol/message.rs	HelloMessage	client	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.hello.color_support	crates/dustnet-core/src/protocol/message.rs	HelloMessage	color_support	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.hello.version	crates/dustnet-core/src/protocol/message.rs	HelloMessage	protocol_version	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.hello.terminal_size	crates/dustnet-core/src/protocol/message.rs	HelloMessage	terminal_size	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.welcome.capabilities	crates/dustnet-core/src/protocol/message.rs	WelcomeMessage	capabilities	remote	operation	transient	32 capabilities within MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.welcome.version	crates/dustnet-core/src/protocol/message.rs	WelcomeMessage	protocol_version	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.welcome.server	crates/dustnet-core/src/protocol/message.rs	WelcomeMessage	server	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.welcome.site_name	crates/dustnet-core/src/protocol/message.rs	WelcomeMessage	site_name	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	negotiation transfer or drop	bounded	none
protocol.get.path	crates/dustnet-core/src/protocol/message.rs	GetMessage	path	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and path limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	request handling or drop	bounded	none
protocol.get.query	crates/dustnet-core/src/protocol/message.rs	GetMessage	query	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	request handling or drop	bounded	none
protocol.get.referrer	crates/dustnet-core/src/protocol/message.rs	GetMessage	referrer	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	request handling or drop	bounded	none
protocol.get.session	crates/dustnet-core/src/protocol/message.rs	GetMessage	session	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and session limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	request handling or drop	bounded	none
protocol.page.content	crates/dustnet-core/src/protocol/message.rs	PageMessage	content	remote	operation	transient	MAX_PAGE_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	page pipeline transfer or drop	bounded	page_encoding_and_decoding_enforce_page_bound
protocol.page.session_directives	crates/dustnet-core/src/protocol/message.rs	PageMessage	session_directives	remote	operation	transient	MAX_PAGE_MESSAGE_SIZE and session directive limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	session application or drop	bounded	page_encoding_and_decoding_enforce_page_bound
protocol.redirect.target	crates/dustnet-core/src/protocol/message.rs	RedirectMessage	target	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and URI limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	redirect dispatch or drop	bounded	none
protocol.error.message	crates/dustnet-core/src/protocol/message.rs	ErrorMessage	message	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	error dispatch or drop	bounded	none
protocol.input.form_data	crates/dustnet-core/src/protocol/message.rs	InputMessage	form_data	remote	operation	transient	MAX_INPUT_MESSAGE_SIZE and field limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	input handling or drop	bounded	none
protocol.input.path	crates/dustnet-core/src/protocol/message.rs	InputMessage	path	remote	operation	transient	MAX_INPUT_MESSAGE_SIZE and path limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	input handling or drop	bounded	none
protocol.input.session	crates/dustnet-core/src/protocol/message.rs	InputMessage	session	remote	operation	transient	MAX_INPUT_MESSAGE_SIZE and session limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	input handling or drop	bounded	none
protocol.subscribe.path	crates/dustnet-core/src/protocol/message.rs	SubscribeMessage	path	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and path limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	subscription handling or drop	bounded	none
protocol.subscribe.region	crates/dustnet-core/src/protocol/message.rs	SubscribeMessage	region	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and region limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	subscription handling or drop	bounded	none
protocol.subscribe.session	crates/dustnet-core/src/protocol/message.rs	SubscribeMessage	session	remote	operation	transient	MAX_CONTROL_MESSAGE_SIZE and session limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	subscription handling or drop	bounded	none
protocol.update.content	crates/dustnet-core/src/protocol/message.rs	UpdateMessage	content	remote	operation	transient	MAX_LIVE_UPDATE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	update dispatch or drop	bounded	none
protocol.update.region	crates/dustnet-core/src/protocol/message.rs	UpdateMessage	region	remote	operation	transient	MAX_LIVE_UPDATE_SIZE and region limits	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	update dispatch or drop	bounded	none
client.current_origin_wrapper	crates/dustnet-client/src/client.rs	AtpClient	current_origin	remote	connection	retained	one protocol-bounded canonical origin	none	first-contact and host-change retained copies are prepared fallibly before transport or origin mutation while same-origin reconnect reuses the exact owner	allocation rejection preserves the exact prior retained origin and scope before transport mutation	host change disconnect or client drop	bounded	current_origin_preparation_rejection_preserves_existing_client_state
client.current_scope_wrapper	crates/dustnet-client/src/client.rs	AtpClient	current_scope	remote	page	retained	one protocol-bounded viewer-issued PageScope	none	owned transport preparation clones the exact reducer scope fallibly before transport mutation; consuming activation moves its owner	allocation rejection preserves the exact prior scope and transport work	page replacement disconnect or client drop	bounded	current_scope_preparation_rejection_precedes_transport_mutation
client.prepared_connection_origin.target	crates/dustnet-client/src/client.rs	PreparedConnectionOrigin	target	remote	operation	transient	one protocol-bounded canonical production origin	none	ASCII canonical origin construction completes fallibly once before any navigation connection or retained-owner mutation	canonicalization rejection drops the disposable candidate and preserves exact client state	connection attempt completion or operation drop	bounded	owned_fetch_preserves_viewer_scope_and_request_id
client.prepared_connection_origin.retained_target	crates/dustnet-client/src/client.rs	PreparedConnectionOrigin	retained_target	remote	operation	transient	zero or one protocol-bounded retained-origin candidate	none	the separately retained copy is prepared fallibly before scope connection or origin mutation and is moved into current_origin only after connection success	copy or connection rejection preserves the candidate for exact retry without changing the prior retained owner	current_origin transfer same-origin reuse or operation drop	bounded	same_origin_reconnect_reuses_exact_retained_owners
client.sessions_wrapper	crates/dustnet-client/src/client.rs	AtpClient	sessions	remote	process	retained	MAX_TOTAL_SESSIONS	Sessions	full governed candidate admission is owned by GovernedSessionStore	budget or allocator rejection preserves the active store	clear replacement or client drop	governed	governed_sessions_account_exact_retained_capacity_until_clear_and_drop,governed_sessions_candidate_rejection_preserves_the_exact_store
viewer.scope_wrapper	crates/dustnet-client/src/viewer.rs	ViewerModel	scope	remote	page	retained	one production protocol-bounded current PageScope	none	already-owned origins move into the model while every retained-scope duplicate is constructed fallibly before request or related reducer mutation	copy rejection preserves the exact current scope request table pending work and connection state	page replacement rollback replacement or viewer drop	bounded	current_scope_copy_rejection_precedes_reducer_mutation
page.scene_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	LoadedPage	scene	remote	page	retained	one parser-bounded candidate scene	mixed categories	all retained scene owners are bounded or governed and node arena relation invalidation string cell and event preparation completes before candidate activation	candidate allocation or governor rejection leaves the active page unchanged and releases the disposable candidate	page replacement or drop	governed	layout_pressure_retains_exact_parsed_candidate_until_activation,layout_allocation_rejection_refuses_the_page_at_every_site_and_recovers
runtime.client_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	client	remote	process	retained	one internal ATP transport with protocol-bounded production origins	mixed categories	parsed ASCII origin canonicalization and every separately retained cache session subscription update and current owner completes fallibly before transport or wrapper mutation	canonical-origin or nested-owner rejection preserves the exact connection scope and retained client state	runtime drop	bounded	canonical_origin_rejection_precedes_connection_and_owner_mutation
runtime.compositor_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	compositor	remote	frame	retained	one compositor with at most one output and one presented shared frame	mixed categories	frame cells are governed dirty metadata is inline and the pinned shared-owner allocation is fallible before cache publication	cell or shared-owner rejection preserves the exact cached and presented frames	cache invalidation page replacement or runtime drop	bounded	shared_frame_owner_rejection_preserves_the_exact_cached_frame
runtime.input_mode_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	input_mode	mixed	page	retained	one terminal input projection capped by MAX_INPUT_MESSAGE_SIZE and authored maxlen	none	remote activation copies only complete bounded graphemes before state mutation; local growth reserves before insertion and projection copies are fallible while the exact edit remains retained for retry	activation or growth rejection preserves exact edit state and projection rejection publishes no partial value	input completion page replacement or runtime drop	bounded	input_mode_allocation_rejection_preserves_exact_edit_state
runtime.page_wrapper	crates/dustnet-client/src/compositor/terminal/runner.rs	TerminalRuntime	page	remote	page	retained	one active LoadedPage	mixed categories	complete candidate page and scene ownership is prepared before exact reducer-authorized activation	candidate rejection preserves the prior page and releases all candidate owners	page replacement or runtime drop	governed	layout_pressure_retains_exact_parsed_candidate_until_activation,layout_allocation_rejection_refuses_the_page_at_every_site_and_recovers
transient.protocol.hello_serialize	crates/dustnet-core/src/protocol/message.rs	HelloMessage::serialize	result	mixed	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	message_serializers_enforce_semantic_bounds
transient.protocol.welcome_serialize	crates/dustnet-core/src/protocol/message.rs	WelcomeMessage::serialize	result	mixed	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	message_serializers_enforce_semantic_bounds
transient.protocol.get_serialize	crates/dustnet-core/src/protocol/message.rs	GetMessage::serialize	result	mixed	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	message_serializers_enforce_semantic_bounds
transient.protocol.redirect_serialize	crates/dustnet-core/src/protocol/message.rs	RedirectMessage::serialize	result	mixed	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	message_serializers_enforce_semantic_bounds
transient.protocol.error_serialize	crates/dustnet-core/src/protocol/message.rs	ErrorMessage::serialize	result	mixed	operation	transient	MAX_CONTROL_MESSAGE_SIZE	none	checked semantic limit plus fallible exact construction of every successful owned value	resource exhaustion returns ProtocolError without publishing a partial value	RawFrame transfer or drop	bounded	message_serializers_enforce_semantic_bounds
